,score_cat
247,0
335,1
702,1
440,1
136,1
666,1
6,0
393,1
250,1
181,0
660,0
145,0
549,1
132,1
581,1
450,1
41,1
108,0
281,0
56,1
544,0
605,1
338,1
539,0
24,1
290,0
198,1
606,1
371,1
292,0
110,1
82,1
51,1
399,1
584,1
503,1
294,1
653,0
668,1
694,0
212,0
18,0
530,0
264,0
291,0
480,1
83,0
61,1
541,1
423,0
29,1
443,0
211,0
296,0
628,0
182,0
521,0
319,1
707,1
352,1
583,0
239,1
327,1
209,0
369,1
708,0
176,1
381,1
332,0
532,1
558,0
137,0
314,0
683,0
645,0
163,1
360,0
640,0
625,0
711,1
311,0
333,0
456,1
104,0
114,0
655,0
329,1
654,0
537,1
92,0
7,0
89,0
603,1
570,1
426,1
676,0
613,1
486,1
408,1
693,0
140,0
28,1
43,0
42,1
73,1
167,1
526,1
638,0
66,0
11,0
340,1
178,0
507,1
469,0
177,1
495,1
580,0
257,1
648,1
15,1
669,0
256,1
306,1
323,1
728,1
396,1
513,1
462,0
380,1
9,0
249,1
22,0
221,0
482,0
714,1
626,1
609,0
203,1
446,0
93,0
331,0
516,0
485,1
284,0
184,1
588,1
328,1
153,1
75,1
585,1
277,0
68,0
425,1
188,1
271,1
236,1
88,0
618,0
117,1
125,1
598,1
289,1
238,1
0,0
721,1
567,0
635,1
586,0
278,0
116,1
228,1
411,0
362,0
274,0
318,1
493,0
144,1
428,1
420,0
659,0
531,1
268,0
514,1
307,0
310,0
46,0
261,0
195,1
729,0
610,0
107,0
59,1
545,1
473,0
100,1
395,1
652,0
529,1
377,1
179,1
304,1
357,0
394,0
701,0
149,0
124,0
576,1
633,0
185,0
477,0
559,1
713,1
719,1
388,0
321,0
353,1
672,0
142,0
141,0
439,0
320,0
19,0
172,1
630,0
312,1
678,1
12,0
305,0
354,1
25,0
543,0
169,1
38,1
451,0
245,0
298,0
597,0
272,0
154,0
126,1
518,0
341,0
287,0
113,1
412,0
173,0
359,0
670,1
57,1
494,1
222,0
280,1
17,0
453,0
322,1
255,1
465,0
699,0
190,1
490,0
644,0
416,1
94,0
180,1
301,0
658,0
536,1
506,0
687,1
643,1
478,1
5,1
715,1
45,1
445,0
550,0
171,0
16,0
48,1
705,0
667,1
3,1
500,0
602,1
316,1
671,0
283,1
96,1
285,0
611,0
225,1
26,1
572,0
263,0
437,1
50,0
364,0
229,0
37,0
157,0
237,1
724,1
374,1
370,0
442,0
175,0
619,1
127,0
538,0
194,1
621,0
629,1
697,1
698,0
499,0
704,0
607,1
627,1
67,1
642,0
168,1
444,1
631,0
162,0
309,0
193,0
637,0
365,0
383,0
657,0
527,1
152,1
501,1
519,0
111,1
226,0
557,1
582,0
103,0
421,0
419,0
569,0
552,1
74,0
115,0
407,1
703,0
119,0
53,0
151,0
403,1
691,0
207,0
591,0
523,0
722,0
690,0
8,0
608,0
590,0
36,1
452,0
139,1
253,0
303,1
548,0
551,0
525,1
533,0
262,1
297,1
414,1
150,0
578,0
647,0
488,0
147,0
146,0
534,0
675,0
547,0
348,1
463,0
325,1
186,0
123,0
620,1
143,0
695,0
197,0
279,0
293,1
400,0
122,0
183,0
202,0
438,1
246,0
415,1
684,0
129,1
402,1
601,0
689,0
219,0
662,1
554,0
665,0
664,0
386,1
706,0
509,1
267,0
441,1
496,0
112,1
232,0
634,0
373,1
233,1
575,0
317,0
410,0
651,1
358,0
258,0
282,0
376,1
384,0
224,0
692,0
595,1
472,1
347,1
505,0
718,0
673,0
656,0
622,1
615,0
556,1
577,0
85,0
242,1
159,1
524,0
35,0
540,1
170,1
624,0
616,0
685,0
95,0
563,0
240,0
574,1
460,1
553,1
639,0
206,0
392,1
397,0
617,1
217,0
4,0
650,0
612,1
546,1
98,0
573,0
406,1
502,1
47,0
32,0
200,1
134,0
27,1
641,1
230,0
489,0
378,1
288,1
418,0
391,1
592,0
498,1
138,1
62,0
471,0
128,0
709,0
520,1
64,0
14,1
156,0
40,0
492,0
379,1
187,1
216,0
52,0
337,0
295,0
251,1
461,0
455,1
727,0
269,0
201,0
161,1
555,0
401,1
476,0
105,1
565,0
389,0
1,1
680,1
561,0
80,1
205,0
34,1
508,1
427,1
454,1
366,0
91,1
339,0
564,1
345,1
241,0
13,1
315,0
600,1
387,0
273,0
166,1
723,0
646,1
484,0
712,1
504,0
243,1
566,0
562,0
686,0
189,0
475,0
681,1
510,1
58,0
474,0
560,0
252,1
21,0
313,0
459,0
160,0
276,1
191,0
385,1
413,0
491,1
343,1
308,0
661,0
130,0
663,0
99,1
372,0
87,0
458,1
330,0
214,0
466,1
121,1
614,1
20,1
700,0
71,1
106,1
270,1
435,1
102,1
